School Year,School Authority Category,School Authority Name,School Authority Code,School Name,School Code,ECS,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total
2020-2021,Charter,Calgary Arts Academy Society,151,Calgary Arts Academy,1126,44,52,52,46,45,50,48,46,55,39,13,,,490
2020-2021,Separate,The Calgary Roman Catholic Separate School Division,4010,Our Lady of Wisdom,1373,60,76,75,78,94,81,96,,,,,,,560
2020-2021,Public,The Calgary School Division,3030,Colonel Irvine School,9622,,,,,,94,74,179,185,156,,,,688
2020-2021,Separate,The Calgary Roman Catholic Separate School Division,4010,Divine Mercy School,2189,85,110,103,93,63,70,51,,,,,,,575
2020-2021,Separate,The Calgary Roman Catholic Separate School Division,4010,John Costello Catholic School,8558,25,34,33,33,31,35,43,,,,,,,234
2020-2021,Public,The Calgary School Division,3030,Hillhurst School,9218,18,33,18,13,43,52,66,,,,,,,243
2020-2021,Public,The Calgary School Division,3030,Dr. Freda Miller School,2280,45,47,45,62,52,,,,,,,,,251
2020-2021,Public,The Calgary School Division,3030,New Brighton School,2072,66,121,123,110,125,1,,,,,,,,546
2020-2021,Public,The Calgary School Division,3030,David Thompson School,9641,,,,,,59,82,149,111,110,,,,511
2020-2021,Public,The Calgary School Division,3030,Scenic Acres School,597,21,26,18,29,25,,,,,,,,,119
2020-2021,Public,The Calgary School Division,3030,Ted Harrison School,1677,,,,,,135,141,159,159,157,,,,751
2020-2021,Public,The Calgary School Division,3030,Woodlands School,9371,32,32,36,44,36,36,50,,,,,,,266
2020-2021,Public,The Calgary School Division,3030,Dr. Martha Cohen School,2070,,,,,,189,194,196,189,156,,,,924
2020-2021,Separate,The Calgary Roman Catholic Separate School Division,4010,Corpus Christi School,8501,12,21,25,23,19,21,25,,,,,,,146
2020-2021,Private,Calgary Academy Society,9131,Calgary Academy,9908,1,1,3,4,20,38,54,53,68,55,62,80,53,492
2020-2021,Public,The Calgary School Division,3030,Rideau Park School,9610,26,29,29,32,23,35,29,79,110,83,,,,475
2020-2021,Separate,The Calgary Roman Catholic Separate School Division,4010,St. Bonaventure School,8721,,,,,,,,139,88,104,,,,331
2020-2021,Public,The Calgary School Division,3030,Dr. Gordon Townsend School,9886,,,2,2,3,2,5,3,3,1,,1,1,23
2020-2021,Private,Calgary Academy Society,9131,Calgary Academy Collegiate,1015,,9,8,6,11,7,13,14,12,13,18,15,10,136
2020-2021,Separate,The Calgary Roman Catholic Separate School Division,4010,St. Rupert School,8548,35,30,35,23,26,27,31,,,,,,,207
2020-2021,Public,The Calgary School Division,3030,Sir Wilfrid Laurier School,9648,,,,,,,123,127,117,116,,,,483
2020-2021,Public,The Calgary School Division,3030,Connaught School,9114,45,69,60,56,58,41,25,,,,,,,354
2020-2021,Public,The Calgary School Division,3030,Joane Cardinal-Schubert High School,2180,,,,,,,,,,,453,656,646,1755
2020-2021,Public,The Calgary School Division,3030,Stanley Jones School,9233,44,44,45,45,48,68,64,51,48,49,,,,506
2020-2021,Public,The Calgary School Division,3030,Alex Munro School,9261,26,42,31,39,41,41,35,,,,,,,255
2020-2021,Public,The Calgary School Division,3030,Glenbrook School,9122,10,36,35,34,33,44,30,,,,,,,222
2020-2021,Separate,The Calgary Roman Catholic Separate School Division,4010,St. Clare,1118,66,65,68,63,59,76,67,,,,,,,464
2020-2021,Public,The Calgary School Division,3030,Woodman School,9631,,,,,,32,37,152,142,128,,,,491
2020-2021,Public,The Calgary School Division,3030,Senator Patrick Burns School,9640,,,,,,,179,202,172,151,,,,704
2020-2021,Public,The Calgary School Division,3030,Robert Thirsk School,1679,,,,,,,,,,,360,352,437,1149
2020-2021,Public,The Calgary School Division,3030,Centennial High School,1224,,,,,,,,,,,455,436,437,1328
2020-2021,Separate,The Calgary Roman Catholic Separate School Division,4010,St. Brigid,1119,27,23,44,33,37,44,43,32,40,54,,,,377
2020-2021,Private,Calgary Chinese Alliance School Society,164,Calgary Chinese Alliance School,5001,,,,,,,,,,,,1,,1
2020-2021,Private,G.R.I.T. (Getting Ready for Inclusion Today) Calgary Society,9376,Getting Ready For Inclusion To,284,78,,,,,,,,,,,,,78
2020-2021,Separate,The Calgary Roman Catholic Separate School Division,4010,St. Patrick School,8507,15,27,24,27,30,23,22,,,,,,,168
2020-2021,Private,The Canadian Reformed School Society of Calgary,9938,Tyndale Christian School,9984,6,7,4,5,9,10,7,7,4,11,9,4,2,85
2020-2021,Separate,The Calgary Roman Catholic Separate School Division,4010,St. Marguerite School,2082,53,75,72,67,77,48,45,,,,,,,437
2020-2021,Separate,The Calgary Roman Catholic Separate School Division,4010,Our Lady of the Assumption School,8701,15,27,27,27,33,26,26,28,40,35,,,,284
2020-2021,Public,The Calgary School Division,3030,Manmeet Singh Bhullar School,2145,40,100,80,84,78,69,67,,,,,,,518
2020-2021,Public,The Calgary School Division,3030,Crescent Heights High School,9815,,,,,,,,,,,565,555,629,1749
2020-2021,Separate,The Calgary Roman Catholic Separate School Division,4010,Notre Dame High School,1275,,,,,,,,,,,628,509,556,1693
2020-2021,Public,The Calgary School Division,3030,Haysboro School,9316,17,20,22,25,30,20,31,,,,,,,165
2020-2021,Public,The Calgary School Division,3030,Valley View School,9330,55,76,70,87,75,76,,,,,,,,439
2020-2021,Separate,The Calgary Roman Catholic Separate School Division,4010,St. Elizabeth Seton,588,31,22,31,34,37,38,35,125,119,106,,,,578
2020-2021,Public,The Calgary School Division,3030,Catherine Nichols Gunn School,9232,25,35,38,49,35,42,45,,,,,,,269
2020-2021,Public,The Calgary School Division,3030,Ian Bazalgette School,9613,,,,,,,136,166,133,130,,,,565
2020-2021,Separate,The Calgary Roman Catholic Separate School Division,4010,St. Peter Elementary School,8543,38,34,27,26,31,23,26,,,,,,,205
