School Year,School Authority Category,School Authority Name,School Authority Code,School Name,School Code,ECS,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Light of Christ Catholic School,1486,50,66,57,61,73,65,57,144,153,80,,,,806
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Fresh Start Outreach Program,1525,,,,,,,,,,,,2,9,11
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Sanctuary Outreach,1554,,,,,,,,,,,,,1,1
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Isabella School,1680,116,114,113,85,86,79,64,63,64,46,,,,830
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Junior High Fresh Start Outreach Program,1688,,,,,,,,,1,2,,,,3
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Our Lady Queen of Peace Elementary School,5270,78,97,93,75,82,85,81,67,70,,,,,728
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Holy Spirit Catholic School,5280,44,47,54,44,62,53,65,,,,,,,369
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Corpus Christi School,8501,70,35,18,18,22,23,22,,,,,,,208
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Hubert Elementary School,8502,33,35,28,23,27,23,23,,,,,,,192
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Holy Family School,8503,30,39,32,31,27,31,32,,,,,,,222
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Holy Name (Bilingual) School,8504,54,60,50,31,23,26,18,,,,,,,262
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Holy Trinity School,8506,34,36,31,34,25,26,18,,,,,,,204
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Patrick School,8507,39,41,29,34,25,23,29,,,,,,,220
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Andrew School,8508,24,21,22,14,16,21,20,,,,,,,138
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Angela Elementary,8510,38,39,22,16,16,13,8,,,,,,,152
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Benedict School,8511,81,58,30,30,18,26,23,,,,,,,266
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Cecilia (Bilingual) Elementary School,8513,62,55,38,40,41,32,32,,,,,,,300
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Anthony,8515,,,,,20,26,29,2,,,,,,77
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Gerard Bilingual School,8517,25,13,20,24,14,16,13,,,,,,,125
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Luke Bilingual Elementary School,8521,40,43,39,29,28,18,28,,,,,,,225
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Ecole St. Pius X School,8524,51,60,59,39,34,27,22,,,,,,,292
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Thomas Aquinas School,8527,18,24,19,37,26,29,,,,,,,,153
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Vincent De Paul Elementary Junior High School,8528,20,25,26,26,38,32,48,67,82,112,,,,476
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. William School,8529,25,20,24,15,25,10,15,,,,,,,134
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Monica School,8530,50,13,22,15,19,20,17,34,41,35,,,,266
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Dominic School,8531,32,45,37,35,54,74,64,1,,,,,,342
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Boniface Elementary School,8532,26,22,22,26,24,32,25,,,,,,,177
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Catherine Elementary School,8533,54,19,22,13,21,17,4,,,,,,,150
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Henry Elementary School,8534,78,19,25,29,29,25,26,,,,,,,231
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Mark Elementary School,8536,70,42,32,37,40,29,47,,,,,,,297
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Sylvester School,8537,42,43,41,25,33,29,22,,,,,,,235
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Wilfrid Elementary School,8541,59,26,34,32,27,30,29,,,,,,,237
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Blessed Mother Teresa,8542,55,40,39,28,31,20,32,,,,,,,245
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Peter Elementary School,8543,71,47,35,36,49,28,29,,,,,,,295
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Thomas More School,8544,30,38,39,34,48,32,44,,,,,,,265
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Bede Elementary School,8545,66,69,89,84,72,76,67,,,,,,,523
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Jude School,8546,24,30,19,27,22,28,21,,,,,,,171
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Rita School,8547,46,36,19,31,11,17,14,,,,,,,174
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Rupert School,8548,26,40,25,29,22,38,35,,,,,,,215
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,John Paul II School,8549,52,62,63,45,40,47,55,,,,,,,364
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Damien School,8550,35,39,36,38,47,34,43,,,,,,,272
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Father Doucet School,8551,29,53,33,52,36,59,43,,,,,,,305
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Kateri Tekakwitha School,8552,48,47,55,43,49,55,58,,,,,,,355
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Mother Mary Greene School,8553,34,50,40,42,28,33,30,,,,,,,257
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Monsignor Neville Anderson School,8554,25,47,40,33,32,34,33,,,,,,,244
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Monsignor E. L. Doyle Elementary School,8555,41,46,48,52,34,29,37,2,,,,,,289
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Maria Goretti Elementary School,8556,50,72,64,69,55,50,60,,,,,,,420
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Monsignor A. J. Hetherington Elementary School,8557,72,37,27,27,22,34,34,,,,,,,253
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,John Costello Catholic School,8558,102,103,89,100,86,82,59,,,,,,,621
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Our Lady of the Assumption School,8701,34,35,47,44,45,45,48,32,46,52,,,,428
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Bishop Kidd School,8702,,,,,,,,97,85,89,,,,271
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Jean Brebeuf School,8703,,,,,,,,190,167,199,,,,556
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Holy Cross Elementary Junior High School,8704,46,31,25,36,35,32,29,55,65,54,,,,408
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Sacred Heart Elementary School,8705,36,38,29,20,15,19,15,,,,,,,172
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Alphonsus Elementary Junior High School,8706,31,25,28,28,25,31,32,64,52,63,,,,379
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Augustine Elementary Junior High School,8708,37,32,31,24,24,18,26,73,84,99,,,,448
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Bernadette School,8709,43,26,28,29,19,22,23,,,,,,,190
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Gregory School,8710,,,,,,,39,116,123,144,,,,422
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Helena School,8711,,,,,,,,119,113,106,,,,338
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. James Elementary Junior High School,8712,37,31,45,29,31,36,56,42,45,38,,,,390
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Joseph Elementary Junior High School,8713,43,36,29,39,37,35,32,53,63,84,,,,451
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Margaret School,8714,72,58,54,36,40,50,34,37,32,40,,,,453
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Matthew School,8716,33,38,37,29,30,42,34,120,107,117,,,,587
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Michael School,8717,23,22,31,33,28,31,40,65,58,63,,,,394
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Stephen School,8719,20,14,17,19,23,20,25,101,67,78,,,,384
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Bonaventure School,8721,,,,,,,,92,107,100,,,,299
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Rose of Lima Junior High School,8722,90,46,47,42,32,26,33,69,44,134,,,,563
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Cyril School,8723,32,22,32,40,24,32,37,50,52,59,,,,380
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Philip School,8724,82,52,52,51,47,61,46,,,,,,,391
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Martha School,8725,57,41,46,41,35,41,43,118,152,178,,,,752
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Blessed John XXIII Elementary/Jr.High School,8726,60,26,34,36,44,37,47,123,108,114,,,,629
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Don Bosco School,8727,73,44,31,38,35,32,37,36,46,51,,,,423
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Madeleine D' Houet Bilingual School,8728,,,,,,,,95,112,93,,,,300
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Father James Whelihan,8729,32,45,37,48,47,43,56,111,108,114,,,,641
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Father Scollen School,8730,61,24,12,17,15,24,20,97,99,95,,,,464
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Blessed Cardinal Newman,8731,70,69,56,54,71,77,80,96,102,121,,,,796
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Our Lady of Peace Elementary Junior High School,8732,52,49,41,48,67,52,72,98,127,114,,,,720
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Bishop Grandin High School,8901,,,,,,,,,,,546,510,514,1570
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Francis High School,8902,,,,,,,,,,,505,515,505,1525
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Father Lacombe School,8903,,,,,,,,,,,317,250,261,828
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Mary's High School,8904,,,,,,,,,,,354,234,248,836
2014_2015,Public,Calgary School District No. 19,3030,Briar Hill School,9205,,25,40,27,36,31,32,,,,,,,191
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Bishop Carroll High School,8905,,,,,,,,,,,405,398,324,1127
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,St. Anne Academic Centre,8906,,,,,,1,3,,2,2,111,364,1180,1663
2013_2014,Separate,Calgary Roman Catholic Separate School District No. 1,4010,Bishop McNally High School,8907,,,,,,,,,,,407,365,371,1143
2013_2014,Charter,Calgary Science School Society,45,Calgary Science School,335,,,,,100,100,100,101,101,97,,,,599
2013_2014,Charter,Calgary Arts Academy Society,151,Calgary Arts Academy,1126,51,51,49,49,51,50,52,52,50,47,,,,502
2013_2014,Charter,Calgary Girls' School Society,152,Calgary Girls' School,1128,,,,,78,105,110,106,103,63,,,,565
2013_2014,Private,Calgary Chinese Cultural Centre Association,9370,Cultural Centre Chinese Learning Academy,35,,,,,,,,,,,1,2,3,6
2013_2014,Private,Society For Treatment of Autism (Calgary Region),9879,Society for Treatment of Autism,212,29,,,,,,,,,,,,,29
2013_2014,Private,The PREP Program - A Calgary Society to Promote Education for Individuals with Down Syndrome,9894,The PREP Program,230,12,,,,,,,,,,,,,12
2013_2014,Private,Montessori School of Calgary,9925,Montessori School of Calgary,254,18,7,11,3,1,4,2,,,,,,,46
2013_2014,Private,G.R.I.T. (Getting Ready for Inclusion Today) Calgary Society,9376,Getting Ready For Inclusion To,284,64,,,,,,,,,,,,,64
2013_2014,Private,Calgary French & International School Society,9632,Calgary French & International School,796,86,77,73,76,69,55,42,42,47,40,14,3,11,635
2013_2014,Private,The Calgary Society for Effective Education of Learning Disabled,9131,Calgary Academy Collegiate,1015,,,,,,,,10,15,10,12,9,10,66
2013_2014,Private,Calgary Urban Project Society,155,One World Child Development Centre,1162,46,,,,,,,,,,,,,46
2013_2014,Private,Access International College (Calgary) Incorporated,178,Access International College (Calgary) Inc.,1271,,,,,,,,,,,,1,2,3
2013_2014,Private,Khalsa School Calgary Educational Foundation,207,Khalsa School Calgary Educational Foundation,1383,37,45,54,52,31,35,35,33,22,22,,,,366
2013_2014,Private,Aurora Learning Foundation (Calgary),211,Aurora Learning Calgary,1397,,,,,,,2,2,,1,2,3,1,11
2013_2014,Private,"Maria Montessori Education Centre of Calgary, Ltd.",212,Maria Montessori School,1410,32,23,17,17,8,9,3,,,,,,,109
2013_2014,Private,Montessori Children's House Charity Foundation of Calgary,251,Montessori Children's House Academy Ltd #1,1586,10,,,,,,,,,,,,,10
2013_2014,Private,Montessori Children's House Charity Foundation of Calgary,251,Montessori Children's House Academy Ltd #2,1595,18,,,,,,,,,,,,,18
2013_2014,Private,Montessori Children's House Charity Foundation of Calgary,251,Montessori Children's House Academy Ltd #3,1596,11,,,,,,,,,,,,,11
2013_2014,Private,Muslim Community Foundation of Calgary,9337,Calgary Islamic School (Franklin Campus),1722,68,60,40,38,39,36,2,7,9,4,,,,303
2013_2014,Private,Calgary Early Learning Centre Association,271,Calgary Early Learning Centre,1736,20,,,,,,,,,,,,,20
2013_2014,Private,Calgary Chinese Alliance School Society,164,Calgary Chinese Alliance School,5001,,,,,,,,,,,1,,1,2
2013_2014,Private,Calgary Quest Children's Society,9795,Calgary Quest School,5398,4,5,11,10,6,9,18,15,12,16,20,10,17,153
2013_2014,Private,The Calgary Society for Effective Education of Learning Disabled,9131,Calgary Academy,9908,,,4,10,29,47,30,54,43,73,53,67,72,482
2013_2014,Private,The Calgary Jewish Academy,9633,Calgary Jewish Academy,9911,27,33,16,20,24,19,12,14,16,12,,,,193
2013_2014,Private,Calgary Waldorf School Society,9224,Calgary Waldorf School,9949,38,36,26,27,25,26,22,17,18,21,,,,256
2013_2014,Private,Hellenic Society of Calgary and District,9278,Greek Community School,9957,,,,,,,,,,,1,,1,2
2013_2014,Private,The Calgary Chinese Public School Society,9296,Calgary Chinese Private School,9963,,,,,,,,,,,,,3,3
2013_2014,Private,Muslim Community Foundation of Calgary,9337,Calgary Islamic Private School,9969,85,85,84,84,77,77,68,65,64,62,43,18,21,833
2014_2015,Public,Calgary School District No. 19,3030,Colonel Irvine School,9622,,,,,,127,121,121,112,66,,,,547
2013_2014,Private,The Canadian Reformed School Society of Calgary,9938,Tyndale Christian School,9984,6,6,11,8,5,2,9,11,6,4,4,7,3,82
2014_2015,Public,Calgary School District No. 19,3030,Midsun School,348,,,,,,,,271,260,247,,,,778
2014_2015,Public,Calgary School District No. 19,3030,The Hamptons School,387,42,38,47,42,42,,,,,,,,,211
2014_2015,Public,Calgary School District No. 19,3030,Hidden Valley School,535,119,132,122,116,,,,,,,,,,489
2014_2015,Public,Calgary School District No. 19,3030,Crossing Park School,536,112,115,111,113,112,112,113,115,112,108,,,,1123
2014_2015,Public,Calgary School District No. 19,3030,Battalion Park School,537,95,117,108,102,95,95,84,,,,,,,696
2014_2015,Public,Calgary School District No. 19,3030,Monterey Park School,538,79,85,69,87,100,73,85,,,,,,,578
2014_2015,Public,Calgary School District No. 19,3030,Douglasdale School,596,102,60,83,66,68,2,2,,,,,,,383
2014_2015,Public,Calgary School District No. 19,3030,Scenic Acres School,597,23,44,22,21,22,,,,,,,,,132
2014_2015,Public,Calgary School District No. 19,3030,Coventry Hills School,1038,148,173,156,136,,,,,,,,,,613
2014_2015,Public,Calgary School District No. 19,3030,Colonel Sanders School,1053,,50,102,104,103,,,,,,,,,359
